timestamp,power_consumption (Watts),voltage_levels (Volts),current_fluctuations (Amperes),temperature (Celsius),environmental_conditions,current_fluctuations_env (Amperes),fault_type
7,106.18,238.52,6.127983561008608,21.97,2,0.78,1.0
16,58.71,235.99,3.01,24.16,0,0.1,0.0
19,195.49,234.97,1.06,13.64,2,0.92,0.0
18,95.64,225.74,2.16,15.82,2,3.06,0.0
8,116.02,213.66,2.48,10.69,0,4.55,0.0
0,88.82,229.88,1.56,20.4,2,2.73,0.0
16,188.28,212.65,0.98,10.9,0,1.63,0.0
9,108.3,218.14,4.14,17.14,1,1.4,0.0
10,131.4,214.23,4.01,11.49,0,4.93,0.0
6,165.84,215.96,0.03,26.31,0,3.53,0.0
0,159.35,233.14,0.37,17.17,0,0.58,0.0
2,179.47,228.7,1.65,11.27,2,1.55,0.0
15,98.78,231.89,3.19,27.74,1,2.36,0.0
15,67.94,231.4,7.281386789093172,21.23,2,3.85,1.0
9,128.41,222.83,0.13,12.16,0,0.16,0.0
12,145.46,219.43,2.54,28.15,0,1.25,0.0
2,111.56,232.67,1.14,11.54,2,1.45,0.0
4,74.18,237.89,4.04,22.67,1,4.36,0.0
6,170.55,215.6,4.46,20.79,1,4.04,0.0
20,100.64,238.29,1.62,20.38,2,3.52,0.0
6,104.54,239.15,4.81,15.04,2,2.49,0.0
6,86.31,230.16,3.81,14.75,2,3.64,0.0
13,105.17,228.97,3.17,20.72,1,0.45,0.0
4,175.3,219.62,0.93,10.82,2,2.95,0.0
0,153.64,221.6,4.68,12.75,2,1.71,0.0
16,67.02,237.74,4.39,15.16,2,3.3,0.0
4,172.58,226.66,2.65,14.84,0,0.47,0.0
7,184.58,237.01,3.17,16.78,0,1.75,0.0
14,74.24,236.96,3.03,10.18,0,0.51,0.0
10,149.53,210.15,0.8,20.97,1,3.46,0.0
20,147.79,216.73,3.56,14.74,0,1.63,0.0
11,161.97,229.49,4.25,23.15,2,2.84,0.0
14,64.05,221.03,1.33,14.88,1,4.87,0.0
6,123.88,215.86,3.61,15.62,2,0.12,0.0
6,146.82,215.31,4.7,29.08,2,4.57,0.0
3,105.52,210.46,4.64,18.56,0,4.83,0.0
21,194.54,235.59,1.47,17.7,2,4.26,0.0
5,97.54,215.08,2.78,28.72,0,3.48,0.0
17,135.51,212.92,3.08,29.8,2,0.7,0.0
5,127.75,236.32,3.7,23.94,2,3.51,0.0
14,103.92,218.81,4.05,26.2,1,4.34,0.0
10,186.99,225.34,2.51,25.97,1,3.25,0.0
21,54.58,211.12,4.11,17.2,2,0.64,0.0
20,128.34,233.1,1.08,22.46,2,0.43,0.0
7,127.45,219.69,3.98,15.42,0,2.19,0.0
7,61.77,210.76,4.81,26.72,2,3.48,0.0
21,111.34,215.2,0.78,15.0,1,2.75,0.0
20,157.19,229.81,1.4,29.1,2,3.69,0.0
9,133.15,228.35,2.1,14.95,2,1.78,0.0
2,155.55,224.23,0.49,19.83,0,2.37,0.0
19,75.98,223.02,1.99,22.32,0,3.18,0.0
7,74.44,212.12,3.21,10.53,0,2.93,0.0
3,191.03,227.26,1.94,22.87,2,2.29,0.0
10,131.84,238.24,1.93,29.22,0,4.53,0.0
16,79.37,212.08,0.5,10.36,2,0.47,0.0
8,152.45,212.14,1.59,26.9,1,0.12,0.0
12,160.26,234.1,1.41,13.55,1,3.75,0.0
3,171.03,239.72,2.06,17.44,0,3.88,0.0
5,108.38,210.33,4.53,11.83,0,1.6,0.0
22,124.16,211.73,2.75,18.83,0,4.44,0.0
0,62.62,231.03,0.36,26.44,1,3.53,0.0
22,62.2,212.55,9.368398701772508,17.49,2,1.85,1.0
16,133.76,222.73,4.53,12.22,2,2.46,0.0
17,161.91,227.5,4.81,17.5,2,1.43,0.0
16,180.29,216.71,4.82,10.24,2,4.85,0.0
11,56.47,236.73,2.64,29.86,2,0.37,0.0
16,183.54,223.67,3.1,15.55,0,0.94,0.0
13,154.72,226.08,1.55,26.28,0,3.42,0.0
16,74.39,237.33,4.11,29.0,2,3.63,0.0
16,106.47,234.32,4.94,13.01,1,2.97,0.0
23,91.01,211.69,9.309910511221716,26.26,2,5.0,1.0
23,69.37,238.62,3.03,14.57,0,3.36,0.0
2,142.72,220.74,0.57,23.43,0,2.6,0.0
5,110.52,214.02,0.14,25.1,1,3.1,0.0
10,155.61,216.39,0.68,10.29,2,1.75,0.0
19,99.31,229.0,1.2,11.52,2,0.64,0.0
23,69.21,214.56,0.69,22.82,2,0.91,0.0
17,56.13,215.07,1.39,13.54,0,0.44,0.0
2,68.1,223.82,5.101184485888096,17.29,2,2.52,1.0
19,55.9,233.98,3.14,11.64,2,4.37,0.0
18,188.13,211.83,1.38,26.12,2,3.74,0.0
1,77.68,216.28,1.85,19.69,1,3.09,0.0
10,105.34,223.88,3.74,10.73,0,1.26,0.0
8,157.0,236.86,2.56,20.64,0,0.54,0.0
2,117.11,225.98,1.21,15.38,1,1.89,0.0
3,139.04,230.37,3.95,19.97,0,0.43,0.0
23,104.46,229.38,2.85,17.12,2,4.93,0.0
19,140.87,217.12,0.51,13.06,2,1.23,0.0
12,74.1,215.6,1.43,13.47,0,4.48,0.0
15,62.04,225.74,2.05,29.65,0,0.56,0.0
15,109.68,239.08,4.33,26.34,0,1.29,0.0
0,75.63,230.06,4.65,21.14,1,2.86,0.0
13,92.0,233.08,0.94,16.47,2,2.13,0.0
14,126.14,217.27,0.57,22.21,0,1.44,0.0
23,137.19,214.63,2.41,20.65,1,0.26,0.0
18,88.2,230.45,3.8,21.91,1,2.36,0.0
7,176.27,214.19,3.98,14.03,1,0.82,0.0
20,74.64,234.44,3.33,20.46,1,1.79,0.0
15,181.58,221.77,4.08,18.78,2,1.88,0.0
17,119.4,219.04,3.74,20.05,0,1.16,0.0
10,184.94,221.52,2.72,28.13,0,3.12,0.0
22,143.01,226.0,4.47,25.77,1,0.76,0.0
14,96.76,217.45,3.72,10.67,0,2.85,0.0
15,69.12,221.92,3.99,13.0,2,1.15,0.0
2,158.34,231.6,3.21,23.88,2,2.71,0.0
3,87.77,220.37,0.91,28.17,2,2.92,0.0
5,141.72,210.54,4.36,28.64,2,2.83,0.0
8,154.5,237.67,3.54,13.05,0,2.88,0.0
15,141.01,222.72,3.68,28.69,2,4.63,0.0
14,117.63,213.4,4.92,26.78,1,0.62,0.0
5,100.28,234.09,0.02,16.67,2,1.99,0.0
14,130.61,237.6,1.73,16.94,2,3.69,0.0
16,117.83,216.74,2.26,12.82,2,0.88,0.0
14,51.96,229.91,0.89,29.22,2,0.74,0.0
13,112.19,212.56,4.98,20.04,1,2.98,0.0
12,60.06,232.5,1.05,27.96,1,1.03,0.0
4,117.99,225.73,2.2,18.02,2,2.8,0.0
4,73.29,215.46,4.31,28.92,0,1.87,0.0
17,90.61,229.32,2.04,10.51,0,0.78,0.0
12,52.96,213.12,4.0,13.57,2,3.26,0.0
6,85.73,212.98,1.22,24.45,1,4.28,0.0
3,113.21,236.78,4.09,16.84,0,1.3,0.0
23,106.95,227.71,1.34,22.48,0,2.05,0.0
6,132.81,223.08,1.47,28.97,2,3.82,0.0
11,71.02,236.05,2.44,27.89,0,4.0,0.0
6,70.9,235.05,4.92,20.51,2,0.86,0.0
7,90.85,210.55,4.57,12.36,1,2.88,0.0
8,91.11,226.63,3.26,26.59,2,1.03,0.0
4,51.65,214.11,4.5,27.48,2,2.99,0.0
19,140.08,229.95,0.88,28.29,2,2.09,0.0
18,107.47,225.57,0.23,13.33,1,3.69,0.0
2,169.91,230.84,1.36,21.8,1,1.8,0.0
6,131.29,236.19,3.66,26.13,2,3.29,0.0
14,153.84,235.48,1.25,19.79,2,1.11,0.0
6,135.19,237.46,0.17,23.95,1,1.49,0.0
7,188.66,239.13,4.72,19.48,2,4.31,0.0
16,176.68,219.57,4.14,10.74,0,2.98,0.0
23,84.5,213.62,0.38,23.93,1,1.7,0.0
0,158.72,211.96,1.58,20.79,1,3.95,0.0
23,97.81,228.78,4.43,22.32,1,1.16,0.0
10,53.66,236.1,0.11,27.49,1,2.64,0.0
15,190.86,233.96,8.195792740827727,17.01,2,3.84,1.0
4,121.98,228.83,7.623300346502001,29.68,2,3.84,1.0
3,94.45,217.01,0.21,10.36,0,4.94,0.0
17,63.41,222.53,4.4,28.89,1,2.34,0.0
15,142.01,215.01,4.96,14.63,0,4.71,0.0
2,77.97,233.39,1.75,11.16,0,4.85,0.0
0,182.57,237.83,4.97,13.48,0,1.98,0.0
10,130.55,227.79,2.9,11.83,2,4.39,0.0
7,148.29,226.53,0.43,18.17,2,1.86,0.0
23,88.96,231.7,2.48,11.62,0,1.1,0.0
3,173.7,220.43,3.39,21.31,2,1.34,0.0
18,181.79,233.92,3.29,27.01,1,4.34,0.0
0,156.25,235.11,3.49,23.6,0,3.09,0.0
2,69.33,220.05,3.72,13.22,2,4.09,0.0
0,174.82,225.22,0.03,15.74,2,3.08,0.0
20,197.18,228.95,1.3,22.68,2,2.7,0.0
21,166.98,213.21,3.81,20.83,0,4.81,0.0
12,101.28,228.98,4.66,12.05,0,4.69,0.0
20,101.88,228.63,0.23,27.43,1,4.87,0.0
3,195.33,232.49,0.65,25.17,0,0.12,0.0
14,53.32,219.71,2.44,25.41,1,3.42,0.0
3,116.89,218.21,4.99,18.52,2,2.26,0.0
12,74.54,233.84,3.47,14.42,1,0.41,0.0
2,152.07,229.64,1.37,29.02,1,0.76,0.0
10,197.6,222.28,4.47,14.6,1,1.07,0.0
11,54.67,229.55,1.84,27.29,1,2.37,0.0
20,164.15,228.79,0.66,10.65,1,4.6,0.0
21,142.5,233.9,2.41,12.35,2,0.63,0.0
7,152.83,222.91,4.745914205743196,19.83,0,0.32,1.0
5,90.35,233.93,1.55,19.1,0,0.06,0.0
17,60.87,221.77,2.4,22.0,2,1.46,0.0
4,154.25,235.8,3.9,10.79,1,2.4,0.0
14,65.74,217.26,4.93,12.85,1,2.49,0.0
22,63.18,220.52,0.17,11.57,2,1.98,0.0
19,69.91,227.03,3.45,26.01,2,1.0,0.0
5,75.12,213.14,3.18,24.13,2,0.16,0.0
15,190.43,211.56,2.71,24.18,2,4.35,0.0
13,132.14,234.52,2.26,22.87,0,2.63,0.0
1,82.88,239.28,1.68,13.64,1,3.95,0.0
5,148.81,224.95,2.78,24.38,2,1.14,0.0
9,54.6,217.73,2.31,27.37,0,3.64,0.0
3,161.41,222.76,3.850327574237448,17.42,2,4.94,1.0
10,180.05,227.36,2.19,24.51,2,2.43,0.0
10,81.6,228.69,3.16,24.66,1,0.66,0.0
7,157.37,237.27,0.9,14.75,0,4.86,0.0
23,127.22,220.78,2.96,13.27,0,1.96,0.0
23,195.47,223.61,1.18,11.47,0,0.85,0.0
0,127.97,220.11,4.14,18.62,2,1.24,0.0
11,142.57,231.2,0.84,13.35,2,0.18,0.0
15,160.46,229.91,2.37,26.88,2,4.03,0.0
12,129.68,238.1,0.2,12.44,1,2.26,0.0
9,190.08,219.48,2.54,10.83,2,0.74,0.0
12,197.99,238.95,0.02,29.04,0,3.2,0.0
17,64.09,230.18,2.22,27.36,2,0.89,0.0
17,82.35,229.77,1.97,23.02,2,0.53,0.0
4,148.68,239.98,0.24,29.54,0,2.03,0.0
11,180.61,233.47,2.84,24.77,0,4.39,0.0
19,110.62,219.81,3.34,26.16,1,3.81,0.0
20,98.69,220.99,1.98,23.91,2,1.94,0.0
